,Date,Value,zip_code
24,2017-06-30,159900.0,28001
25,2017-05-31,159400.0,28001
26,2017-04-30,153304.5,28001
27,2017-03-31,149500.0,28001
28,2017-02-28,147900.0,28001
29,2017-01-31,148400.0,28001
30,2016-12-31,159000.0,28001
31,2016-11-30,150742.5,28001
32,2016-10-31,150742.5,28001
33,2016-09-30,159900.0,28001
34,2016-08-31,159900.0,28001
35,2016-07-31,159700.0,28001
36,2016-06-30,148700.0,28001
37,2016-05-31,144900.0,28001
38,2016-04-30,139950.0,28001
39,2016-03-31,134900.0,28001
40,2016-02-29,133500.0,28001
41,2016-01-31,140400.0,28001
42,2015-12-31,144900.0,28001
43,2015-11-30,142900.0,28001
44,2015-10-31,137900.0,28001
45,2015-09-30,137900.0,28001
46,2015-08-31,137900.0,28001
47,2015-07-31,135000.0,28001
48,2015-06-30,134900.0,28001
49,2015-05-31,134900.0,28001
50,2015-04-30,135200.0,28001
51,2015-03-31,134900.0,28001
52,2015-02-28,135400.0,28001
53,2015-01-31,137900.0,28001
54,2014-12-31,149900.0,28001
55,2014-11-30,135200.0,28001
56,2014-10-31,135000.0,28001
57,2014-09-30,138900.0,28001
58,2014-08-31,139900.0,28001
59,2014-07-31,139900.0,28001
60,2014-06-30,139000.0,28001
61,2014-05-31,138900.0,28001
62,2014-04-30,139450.0,28001
63,2014-03-31,139500.0,28001
64,2014-02-28,134700.0,28001
65,2014-01-31,137200.0,28001
66,2013-12-31,139900.0,28001
67,2013-11-30,139700.0,28001
68,2013-10-31,137250.0,28001
69,2013-09-30,130000.0,28001
70,2013-08-31,129900.0,28001
71,2013-07-31,129900.0,28001
72,2013-06-30,125600.0,28001
73,2013-05-31,125000.0,28001
74,2013-04-30,125000.0,28001
75,2013-03-31,124900.0,28001
76,2013-02-28,125000.0,28001
77,2013-01-31,124900.0,28001
78,2012-12-31,124900.0,28001
79,2012-11-30,125000.0,28001
80,2012-10-31,122950.0,28001
81,2012-09-30,119950.0,28001
82,2012-08-31,123950.0,28001
83,2012-07-31,124900.0,28001
84,2012-06-30,125000.0,28001
85,2012-05-31,129900.0,28001
86,2012-04-30,129900.0,28001
87,2012-03-31,125000.0,28001
88,2012-02-29,124950.0,28001
89,2012-01-31,132975.0,28001
90,2011-12-31,134900.0,28001
91,2011-11-30,139000.0,28001
92,2011-10-31,135000.0,28001
93,2011-09-30,141200.0,28001
94,2011-08-31,149000.0,28001
95,2011-07-31,149250.0,28001
96,2011-06-30,144900.0,28001
97,2011-05-31,139950.0,28001
98,2011-04-30,139250.0,28001
99,2011-03-31,132000.0,28001
100,2011-02-28,132000.0,28001
101,2011-01-31,139500.0,28001
102,2010-12-31,135900.0,28001
103,2010-11-30,139900.0,28001
104,2010-10-31,130900.0,28001
105,2010-09-30,135000.0,28001
106,2010-08-31,132000.0,28001
107,2010-07-31,134900.0,28001
108,2010-06-30,135000.0,28001
109,2010-05-31,137000.0,28001
110,2010-04-30,139500.0,28001
111,2010-03-31,139000.0,28001
112,2010-02-28,139900.0,28001
113,2010-01-31,142400.0,28001
